City Name,Latitude,Longtitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Tūkrah,32.5341,20.5791,300.71,40,0,2.22,LY,1663318021
Russell,32.3502,-85.1999,292.72,100,0,0.0,US,1663317979
Mil'kovo,54.7167,158.6167,278.07,87,42,3.25,RU,1663318022
Arrondissement de Roanne,46.0,4.0,286.45,87,44,2.81,FR,1663318022
Thompson,55.7435,-97.8558,277.24,100,0,0.0,CA,1663318023
Hambantota,6.1241,81.1185,308.34,55,20,6.17,LK,1663318023
Churapcha,62.0025,132.4325,278.33,57,11,2.08,RU,1663318023
Rikitea,-23.1203,-134.9692,295.25,77,4,5.86,PF,1663318023
Mataura,-46.1927,168.8643,274.98,91,7,0.35,NZ,1663318023
Castro,-24.7911,-50.0119,283.62,98,100,2.8,BR,1663317856
Lagoa,39.05,-27.9833,295.82,87,0,7.18,PT,1663318024
Hong Kong,22.2855,114.1577,307.18,70,13,4.02,HK,1663317769
Ormara,25.2088,64.6357,300.64,81,32,7.32,PK,1663318024
Jamestown,42.097,-79.2353,283.25,78,0,1.54,US,1663317792
Souillac,-20.5167,57.5167,298.36,61,75,7.2,MU,1663318025
Tuktoyaktuk,69.4541,-133.0374,275.36,98,100,1.77,CA,1663318025
Busselton,-33.65,115.3333,288.53,67,0,5.56,AU,1663318026
Kidal,18.4411,1.4078,307.0,32,100,6.62,ML,1663318026
Ostrovnoy,68.0531,39.5131,282.24,98,100,3.4,RU,1663318026
Saint Anthony,45.0205,-93.218,294.22,78,75,3.6,US,1663318027
Husavik,66.0449,-17.3389,281.62,63,100,1.02,IS,1663318027
São João da Barra,-21.6403,-41.0511,292.54,93,100,2.84,BR,1663317962
Upernavik,72.7868,-56.1549,276.89,96,100,2.12,GL,1663318027
Barrow,71.2906,-156.7887,274.16,93,100,8.75,US,1663318028
Kaitangata,-46.2817,169.8464,277.21,84,14,1.48,NZ,1663318028
Kapaa,22.0752,-159.319,297.33,78,20,2.57,US,1663318028
The Valley,18.217,-63.0578,302.09,78,15,10.94,AI,1663317791
Mórrope,-6.5417,-80.0111,289.57,90,100,2.45,PE,1663318029
Nikolskoye,59.7035,30.7861,286.09,85,95,3.25,RU,1663318029
Ushuaia,-54.8,-68.3,273.96,69,75,6.69,AR,1663318029
Linköping,58.4109,15.6216,285.69,83,20,5.14,SE,1663318029
Kutum,14.2,24.6667,301.86,45,79,5.31,SD,1663318030
Cururupu,-1.8283,-44.8683,297.95,78,79,2.72,BR,1663318030
Douglas,41.3,-96.167,292.81,72,100,3.09,US,1663317792
Fairmont,39.4851,-80.1426,288.66,97,2,0.83,US,1663318031
Hirara,24.8,125.2833,301.3,89,40,6.69,JP,1663317871
Hermanus,-34.4187,19.2345,291.93,76,97,4.6,ZA,1663318031
Butaritari,3.0707,172.7902,301.06,69,19,6.68,KI,1663318031
Brae,60.3964,-1.353,283.05,61,79,11.59,GB,1663318032
Noril'sk,69.3535,88.2027,276.72,75,100,5.58,RU,1663318032
Punta Arenas,-53.15,-70.9167,272.21,74,0,4.63,CL,1663318032
Maraã,-1.8333,-65.3667,294.76,99,96,1.22,BR,1663318033
Makakilo City,21.3469,-158.0858,299.33,76,0,1.54,US,1663318033
Zhigansk,66.7697,123.3711,279.53,83,100,9.01,RU,1663317838
Pevek,69.7008,170.3133,276.04,85,100,1.51,RU,1663318034
Khatanga,71.9667,102.5,274.29,85,84,5.2,RU,1663318034
Chernyshevskiy,63.0128,112.4714,280.92,69,94,6.14,RU,1663318034
Matata,-37.8833,176.75,286.4,78,39,3.55,NZ,1663318035
Albany,42.6001,-73.9662,281.89,88,3,1.94,US,1663318035
Lüderitz,-26.6481,15.1594,293.41,59,10,5.59,NA,1663318035
Puerto Ayora,-0.7393,-90.3518,291.23,94,83,0.45,EC,1663318036
Clarksburg,39.2807,-80.3445,288.41,93,100,0.0,US,1663318036
Ostrołęka,53.0862,21.5757,288.67,49,6,8.9,PL,1663318036
Tura,25.5198,90.2201,299.33,85,100,1.96,IN,1663318036
Mbini,1.574,9.6134,299.06,94,100,3.78,GQ,1663318037
Vestmannaeyjar,63.4427,-20.2734,282.7,76,75,4.63,IS,1663318037
Constitución,-35.3333,-72.4167,284.4,93,100,1.76,CL,1663317908
Aginskoye,51.1,114.53,280.49,95,100,6.71,RU,1663318038
Saint George,37.1041,-113.5841,295.72,68,20,3.09,US,1663317865
Bredasdorp,-34.5322,20.0403,294.57,47,100,3.81,ZA,1663318038
Vaini,-21.2,-175.2,297.24,94,40,2.57,TO,1663318039
Bluff,-46.6,168.3333,280.77,65,11,4.8,NZ,1663318039
Coahuayana Viejo,18.7333,-103.6833,297.62,97,100,0.96,MX,1663318039
Juneau,58.3019,-134.4197,284.38,97,100,3.09,US,1663318039
Yellowknife,62.456,-114.3525,288.44,58,0,6.17,CA,1663317765
Hobart,-42.8794,147.3294,283.85,96,100,1.54,AU,1663317903
Chapais,49.7834,-74.8492,278.03,91,97,2.73,CA,1663318040
Qaanaaq,77.484,-69.3632,273.34,96,100,2.61,GL,1663318040
Esperance,-33.8667,121.9,286.99,65,20,9.3,AU,1663318041
